analysis_id,g8lm7tg30b028r1
gene_symbol,Dnajc5b
parameter_id,ESLIM_007_001_009
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
parameter_name,Periphery average speed
mouse_strain,C57BL
pvalue,0.307859
