analysis_id,yz2k03u1t721429
gene_symbol,Jun
pvalue,0.8249323
mouse_strain,C57BL
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:96646
mouse_life_stage,E15.5
parameter_id,MGP_IMM_026_001
