gene_symbol,Ahcy
parameter_id,JAX_LDT_005_001
parameter_name,Time mobile dark side
analysis_id,9l42g6v5x09b6r4
mouse_life_stage,Early adult
gene_accession_id,MGI:87968
mouse_strain,C57BL
pvalue,0.2069156
