parameter_id,JAX_LDT_009_001
gene_accession_id,MGI:95576
mouse_strain,C56BL
parameter_name,Percent time in light
analysis_id,c044tun73331c67
pvalue,0.7025409
gene_symbol,Fpgs
mouse_life_stage,Early adult
