analysis_id,494onko34s2234v
parameter_name,% Pre-pulse inhibition - PPI2
pvalue,0.6932638
gene_accession_id,MGI:3588214
parameter_id,IMPC_ACS_034_001
mouse_life_stage,Early adult
gene_symbol,Rufy4
mouse_strain,C57BL
