gene_symbol,Sdcbp2
mouse_strain,C57BL
analysis_id,438saq0ly8n17g0
parameter_id,MGP_IMM_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
parameter_name,Total T cells - % of CD45+
pvalue,0.2267456
