parameter_id,HMGULA_DYS_024_001
gene_accession_id,MGI:2385884
analysis_id,91i4b644u249ajs
pvalue,0.8133482
mouse_life_stage,Early adult
parameter_name,Vibrissae - appearance
mouse_strain,C57BL
gene_symbol,Ddx27
