gene_symbol,Car13
mouse_life_stage,Early adult
parameter_id,JAX_SLW_013_001
mouse_strain,C57BL
pvalue,0.3791654
parameter_name,Breath rate during sleep mean
gene_accession_id,MGI:1931322
analysis_id,t19k019vk30x7f4
