analysis_id,qn9c4t0op4imo22
parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
gene_accession_id,MGI:1919935
mouse_life_stage,Early adult
gene_symbol,Dnajc6
mouse_strain,C57BL
pvalue,0.1401512
