analysis_id,asc8m1n5vw105cv
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_symbol,Snrpb2
parameter_id,MGP_IMM_089_001
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
pvalue,0.7882785
mouse_strain,C57BL
