parameter_name,Center resting time
gene_symbol,Pld1
gene_accession_id,MGI:109585
mouse_strain,C57BL
parameter_id,JAX_OFD_015_001
analysis_id,23zng7c995wu0k1
mouse_life_stage,Early adult
pvalue,0.7082335
