gene_symbol,Sla2
parameter_name,Tibia
gene_accession_id,MGI:1925049
parameter_id,IMPC_XRY_025_001
pvalue,0.7703617
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,6ji9k97vm1l4e0s
