analysis_id,1yme3d4g47rv5a3
parameter_id,IMPC_IMM_050_001
mouse_strain,C57BL
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
gene_symbol,Car13
pvalue,0.06358272
parameter_name,Neutrophils
