parameter_name,PP1 startle magnitude
mouse_strain,C57BL
gene_symbol,Ddx27
parameter_id,ESLIM_011_001_002
analysis_id,vsdno2qy8h1g021
gene_accession_id,MGI:2385884
pvalue,0.4667038
mouse_life_stage,Early adult
