gene_symbol,F2
parameter_name,center - distance
pvalue,0.4968842
parameter_id,M-G-P_007_001_010
gene_accession_id,MGI:88380
analysis_id,6adpe97kfu234m8
mouse_life_stage,Early adult
mouse_strain,C57BL
