analysis_id,05ls9399us0y620
mouse_strain,C57BL
gene_accession_id,MGI:1929242
pvalue,0.2496981
parameter_name,Eosinophil number
mouse_life_stage,Early adult
parameter_id,MGP_PBI_040_001
gene_symbol,Ivd
