gene_symbol,Amigo1
parameter_id,MGP_PBI_004_001
pvalue,0.3302945
analysis_id,nx39mj1f07a5yev
gene_accession_id,MGI:2653612
parameter_name,CD8+ alpha beta T cell percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
