analysis_id,dwg22905430cngc
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:3650254
gene_symbol,Zfp683
pvalue,0.7523098
parameter_id,IMPC_IMM_004_002
mouse_strain,C57BL
mouse_life_stage,Early adult
