parameter_name,Bone Mineral Content
gene_symbol,Nanp
mouse_life_stage,E18.5
mouse_strain,C57BL
analysis_id,a816f5vvewh4k6v
gene_accession_id,MGI:1914561
parameter_id,ESLIM_005_001_005
pvalue,0.2315727
