parameter_name,Chloride
pvalue,0.2862591
mouse_life_stage,Early adult
gene_symbol,Sfpq
analysis_id,yu2618v47yjei05
mouse_strain,C57BL
parameter_id,IMPC_CBC_003_001
gene_accession_id,MGI:1918764
