parameter_name,Average duration
mouse_life_stage,Early adult
parameter_id,JAX_ROT_002_001
mouse_strain,C57BL
gene_accession_id,MGI:1931322
pvalue,0.1850746
analysis_id,2z8kh9k98544vq8
gene_symbol,Car13
