gene_symbol,Cd52
parameter_name,Humerus
gene_accession_id,MGI:1346088
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_021_001
analysis_id,079d0jpeyf24d60
pvalue,0.3623153
