gene_symbol,Zcchc2
pvalue,0.1050963
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,7tk6gg45in15uc5
parameter_id,TCPLA_GRS_011_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2444114
