gene_symbol,Inpp1
parameter_id,IMPC_ACS_035_001
analysis_id,mljifwqip6c1378
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI3
mouse_strain,C57BL
pvalue,0.3429244
gene_accession_id,MGI:104848
