analysis_id,6c1zmwf257da8yv
gene_symbol,Casq1
parameter_id,IMPC_ABR_012_001
pvalue,0.8140199
mouse_strain,C57BL
parameter_name,30kHz-evoked ABR Threshold
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
