analysis_id,0q5n94y2p71t0ge
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Click-evoked ABR threshold
pvalue,0.1460302
gene_accession_id,MGI:1916220
gene_symbol,Dcaf12
parameter_id,IMPC_ABR_002_001
