analysis_id,7o8p8qrjx74m569
gene_symbol,Col6a3
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8244494
parameter_name,Latency to center entry
parameter_id,IMPC_OFD_018_001
