parameter_name,Body Weight
analysis_id,r76659y856mbhrw
gene_accession_id,MGI:2673000
parameter_id,M-G-P_012_001_005
pvalue,0.8313574
gene_symbol,Trim46
mouse_life_stage,Early adult
mouse_strain,C57BL
