parameter_name,Shape of vertebrae
analysis_id,ki3g723963r36e2
pvalue,0.1489246
mouse_strain,C57BL
gene_accession_id,MGI:1914309
gene_symbol,Ola1
mouse_life_stage,E18.5
parameter_id,IMPC_XRY_018_001
