parameter_id,HRWLLA_DXA_007_001
gene_symbol,Dmap1
pvalue,0.5026763
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,BMC/Body weight
gene_accession_id,MGI:1913483
analysis_id,i6743g1t7r03g85
