parameter_name,% Freezing duration pre-cue-2
gene_symbol,Trdmt1
analysis_id,aiac5090i5t910j
mouse_strain,C57BL
parameter_id,ICS_FEA_019_001
pvalue,0.6128749
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
