analysis_id,873y20b0ns32k97
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
parameter_id,IMPC_XRY_024_001
pvalue,0.4728354
mouse_strain,C57BL
parameter_name,Femur
gene_symbol,Wars2
