parameter_name,NK cell number
pvalue,0.1343785
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_027_001
gene_accession_id,MGI:1332236
gene_symbol,Cds2
analysis_id,03b02009176lu41
