analysis_id,7d559kke5q75j55
gene_symbol,Lpgat1
mouse_strain,C57BL
parameter_id,IMPC_XRY_023_001
pvalue,0.3918281
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
parameter_name,Ulna
