parameter_id,HRWLLA_FEA_015_001
gene_accession_id,MGI:2444114
gene_symbol,Zcchc2
analysis_id,2l2t52hp25n3mi7
mouse_life_stage,Early adult
pvalue,0.5106351
mouse_strain,C57BL
parameter_name,Cue Baseline % Freezing Time
