parameter_name,Whole arena average speed
pvalue,0.5330792
parameter_id,JAX_OFD_009_001
analysis_id,237vo604524qswq
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:1336200
gene_symbol,Hpca
