analysis_id,oiu0pzj58bwa6k0
pvalue,0.07346014
parameter_name,Center permanence time
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_id,IMPC_OFD_016_001
