gene_symbol,Kdm5b
mouse_strain,C57BL
parameter_name,Periphery average speed
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
pvalue,0.4867077
parameter_id,HRWLLA_OFD_013_001
analysis_id,n313oj7dfx5yo3c
