parameter_name,Tibia length
mouse_strain,C57BL
parameter_id,IMPC_XRY_033_001
pvalue,0.5089986
gene_accession_id,MGI:3588214
gene_symbol,Rufy4
mouse_life_stage,Early adult
analysis_id,7vm9vp0a7p82261
