analysis_id,u9s5v6bs3xmgpsi
mouse_life_stage,Early adult
gene_accession_id,MGI:1860103
gene_symbol,Slc2a8
pvalue,0.707814
parameter_name,Ly6Clow monocyte percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_018_001
