analysis_id,wgc50va17r4jy4u
pvalue,0.09726799
gene_symbol,Ddx27
parameter_id,IMPC_ECH_008_001
mouse_strain,C57BL
parameter_name,LVIDd
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
