gene_symbol,Cntfr
parameter_name,Body Weight
pvalue,0.2151904
parameter_id,M-G-P_020_001_001
analysis_id,m2386p5g32v4ibv
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
mouse_strain,129SV
