analysis_id,71dk5vdb6ylgc16
parameter_id,IMPC_IPG_011_001
gene_symbol,Slc17a9
gene_accession_id,MGI:1919107
mouse_strain,C57BL
pvalue,0.7802755
parameter_name,Initial response to glucose challenge
mouse_life_stage,Early adult
