analysis_id,a7a1rheju14ehwl
parameter_name,Tremor
gene_symbol,Tatdn3
gene_accession_id,MGI:1916222
pvalue,0.454018
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_030_001
mouse_strain,C57BL
