parameter_name,Time mobile dark side
gene_accession_id,MGI:1345282
parameter_id,JAX_LDT_005_001
pvalue,0.4489843
analysis_id,80d6e40eqv61fg1
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Slc30a4
