gene_symbol,Fam163a
parameter_name,Body Weight
pvalue,0.8549215
analysis_id,hawsr3xl71sfsqw
gene_accession_id,MGI:3618859
mouse_life_stage,Early adult
parameter_id,M-G-P_012_001_005
mouse_strain,C57BL
