analysis_id,65yij1v3z1wwcfz
mouse_life_stage,Early adult
pvalue,0.8332899
parameter_name,CV
gene_accession_id,MGI:1917604
parameter_id,IMPC_ECG_003_001
mouse_strain,C57BL
gene_symbol,Secisbp2l
