Parameter_name,Radius
Mouse_life_stage,Early adult
gene_symbol,Fgb
Analysis_id,6i1p35u180ock0k
pvalue,0.282024
Parameter_id,IMPC_XRY_022_001
Mouse_strain,C57BL
gene_accession_id,MGI:99501
