parameter_name,Skull shape
analysis_id,9420iqk916pdd98
parameter_id,IMPC_XRY_001_001
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.7201591
gene_symbol,Tbl1xr1
