analysis_id,mu2t9ze09hsz4w1
pvalue,0.1760334
gene_symbol,Tiprl
mouse_life_stage,E12.5
parameter_name,Neutrophil differential count
gene_accession_id,MGI:1915087
mouse_strain,C57BL
parameter_id,IMPC_HEM_029_001
