Analysis_id,fo224o0xl01z0mt
parameter_id,IMPC_HEM_006_001
Gene_symbol,Toporsl
Gene_accession_id,MGI:1915524
Mouse_strain,C57BL
Mouse_life_stage,Early adult
Pvalue,0.2941823
parameter_name,Mean corpuscular hemoglobin
