analysis_id,3sd350e30re6kx3
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
parameter_id,IMPC_CBC_006_001
pvalue,0.3257674
gene_symbol,Fgb
parameter_name,Total protein
