analysis_id,q46jd47e67vvv5e
pvalue,0.2125793
parameter_id,JAXLA_CSD_077_001
gene_accession_id,MGI:1914061
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Contact righting
gene_symbol,Duoxa2
