analysis_id,t839r3g993q9409
parameter_id,IMPC_CBC_025_001
gene_symbol,Ppm1j
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9288653
gene_accession_id,MGI:1919137
parameter_name,LDL-cholesterol
