analysis_id,j7gjltfrxr085lb
mouse_life_stage,E18.5
pvalue,0.9265029
parameter_id,UCD_OWT_008_001
gene_accession_id,MGI:1914561
parameter_name,Liver weight
mouse_strain,C57BL
gene_symbol,Nanp
