analysis_id,o13gpmpo6dowf51
parameter_id,IMPC_HWT_008_001
gene_symbol,Clvs1
pvalue,0.2716511
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
mouse_strain,C57BL
parameter_name,Heart weight
