parameter_id,JAX_URI_002_001
mouse_life_stage,Early adult
gene_symbol,Cd52
analysis_id,7641yx809hv76d4
parameter_name,Creatinine
mouse_strain,C57BL
gene_accession_id,MGI:1346088
pvalue,0.3540636
