analysis_id,3r8b262htz5sgu2
mouse_life_stage,Early adult
gene_symbol,Inpp1
parameter_name,Limb coat/hair presence
pvalue,1.066351
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:104848
mouse_strain,129SV
