gene_symbol,Kdm4c
mouse_strain,C57BL
pvalue,0.880993
mouse_life_stage,Early adult
parameter_id,MGP_IMM_070_001
parameter_name,Total ab T cells - % of CD45+
analysis_id,6amqli1ft9492ib
gene_accession_id,MGI:1924054
