parameter_name,Right kidney weight
gene_accession_id,MGI:2181659
parameter_id,IMPC_OWT_004_001
pvalue,0.6369643
analysis_id,8d463546oef34hq
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tox
