parameter_name,B Cells
analysis_id,b16cxgefv184c18
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.4987365
parameter_id,IMPC_IMM_063_001
gene_symbol,Ints7
gene_accession_id,MGI:1924315
