analysis_id,v1p17m9z6cqr4c9
parameter_name,Mean left eye lens density
gene_accession_id,MGI:894679
pvalue,0.7376084
mouse_life_stage,Early adult
gene_symbol,Bach2
mouse_strain,C57BL
parameter_id,IMPC_EYE_056_001
