gene_symbol,Casq1
gene_accession_id,MGI:1309468
mouse_strain,C57BL
parameter_name,Potassium
parameter_id,GMC_906_001_005
analysis_id,9ti957v06l1g7iy
mouse_life_stage,Early adult
pvalue,0.7691179
