gene_symbol,Rhbg
pvalue,0.8623986
parameter_id,IMPC_GEL_017_002
analysis_id,875g7bcwi4o991w
mouse_life_stage,Early adult
parameter_name,Pale yolk sac
mouse_strain,C57BL
gene_accession_id,MGI:1927379
